id	Arabic_txt	Ar:man_sentiment	Ar:man_confidence
37	RT USERNAME: #كاثرين_آشتون:سقوط حكم العسكر في  #مصر سينهي الازمة السورية لصالح الاسلامين!! #سوريا #تونس #تركيا #ليبيا USERNAME http:… 	Neutral	0.499
38	RT USERNAME: لمن يستغرب تمسك #بوتفليقة بالحكم ..  مازال حافر #الأسد يحكم من قبره ..   #سوريا 	Negative	0.918
39	RT USERNAME: أموي #سوريا •  أهل الشام - بعض الغنائم التي اغتنمها المجاهدون من مليشيات الاحتلال النصيرية وحزب اللات #حالش... URL 	Negative	0.5957
40	USERNAME USERNAME  على كل حال):هذا ثائر ينبح ضد كافة المجاهدين اللذين يجاهدون في سبيل الله والمشكله انه من اهل سوريا وجالس بالسعوديه 	Negative	0.8971
41	#Syria إستهداف مدينة القرداحة بصواريخ غراد سدد الله رميكم يا أحرار . تجمع نصرة المظلوم . إستهداف... URL via FaceBook 	Negative	1
42	RT USERNAME: أموي #سوريا •  فرقة تحرير الشام # اللواء الثاني     للشام نفوس تتهاوى   في عين الغادر مسمار   سنعيد المجد... URL 	Negative	0.5391
43	RT USERNAME: الحمدلله على قضاء الله وقدره، استشهد في سوريا زوجي #وليد_السنيدي اللهم تقبله قبولا حسناً ، واربط على قلبي وعلى قلب والدته ياكريم. 	Negative	0.7154
44	RT USERNAME: إن ماحصل لاخواننا في #سوريا ليعطي اليقين لكل مسلم أن الشعارات البراقة التي ينخدع بها البعض ماهي إلا مطايا للمصالح وتحقيق ال… 	Negative	0.7606
45	RT USERNAME: كلمة الشيح أيمن الظواهري #كلمة_الظواهري_الواقع_بين_الألم_والأمل  URL #داعش #سوريا #أفغانستان… 	Negative	0.6116
46	RT USERNAME: #كان_رجل_حتى_قال الله سوريا بشار و بس 	Negative	0.6056
47	#اخرساعه من يوم الجمعهربي ان اخواننا في سوريا ينتظرون فرجك انصرهم ياناصر المستضعفين ان صبرهم قد طال فعجل بفرحة لنا ولهم تدمع لها الأعين 	Positive	0.9068
48	RT USERNAME: #شام #سوريا | ريف #القنيطرة : قصف بالمدفعية الثقيلة يستهدف تل أحمر الغربي ، مصدر القصف قوات النظام المتمركزة في تل الجابية و تل الحارة. 	Negative	0.8009
49	RT USERNAME: استودعكم الله الذي لا تضيعه ودائعه  استغفر الله العظيم  نراكم لاحقا ..   #سوريا 	Positive	0.8103
50	RT USERNAME: \"USERNAME: حماية الله لطفلٍ برئ أقوى من طغيان بشر  اللهم انصر المجاهدين في #سوريا واحفظ عبادك الموحدين URL" 	Negative	0.5117
51	USERNAME حسبناالله ونعم الوكيل على كل من ساهم في مأساة أطفال سورية ولم يكن هناك من يريدان يناصرهم اللهم اغثهم فلاناصر لهم سواك يالله ياالله 	Negative	0.9282
52	RT USERNAME: اللهم انصر اخواننا المسلمين في سوريا وفي كل مكان ، اللهم انصر عبادك المستضعفين .  #سوريا 	Positive	1
53	#أوغاريت || #سوريا #حمص :: ملخص أهم أحداث حمص المحتلة ليوم 18 / 4 / 2014 حتى الس... ... URL 	Neutral	0.6981
54	RT USERNAME: كلّ ما مات واحد .. تخافين ، لكن قسم  ضحكة اطفالك تخوف الموت يا سورية   #معرض_وتعليق URL 	Negative	0.6907
55	RT USERNAME: ( والعزه لله )  لا تسقني ماء الحياة بذلة = بل فاسقني بالعز كأس الحنظل  ماء الحياة بذلة كجهنم = وجهنم بالعز أطيب منزل .. !   #سوريا #القصير 	Negative	0.7529
56	#شهداء_الوطن #سوريا  الشهيد البطل محمد سعد الحجل من طرطوس قرية البلاطة الغربية استشهد في درعا الناصرية بتاريخ 13... URL 	Negative	0.9142
57	\" المراقب الدولي انور مالك.. : تعهدت ألا اطعم نفسي وأولادي من استغلال دماء سوريا ..!  ^و دعاة اخونجية يجمعون تبرعات باسم سوريا ويسرقونها\" 	Negative	0.7739
58	RT USERNAME: فيديو : إستشهاد وجدي العنزي \" ابو عزام الكويتي \" في #سوريا   URL 	Negative	0.9099
59	RT USERNAME: #سوريا  اللهم في هاذااليوم في صباح يوم الجمعه ان تنصر اخونناءفي بلادالشام اللهم انهم ضماءفاروهم وانهم جاعون فاطعمهم ولعن الله بشا… 	Positive	0.6905
60	RT USERNAME: #حمص/#سورية #حمص لن تسقط..وستبقى صامدة بابطالها وبشموخ جبينهم العالي #حمص....ستظل العدية♥ URL 	Positive	0.9032
61	RT USERNAME: أورينت نيوز| مؤتمر يفضح جرائم براميل النظام المتفجرة URL #syria #سوريا 	Negative	0.7494
62	RT USERNAME: سوريا - حمص القديمة : الجيش يسيطر على عدة كتل ومبان في باب هود ووادي السايح  قناة الدنيا 	Negative	0.5989
63	RT USERNAME: اللهم إني أستودعك أطفال ونساء سوريا فأحفظهم بحفظك ياأرحم الراحمين URL 	Positive	0.6218
64	#حلب لواء التوحيد دك معاقل الشبيحة بالرشاشات الثقيلة URL #دمشق 	Negative	0.8977
65	RT USERNAME: USERNAME USERNAME اقسم بالله نحن في سوريا لما فاز البطل مرسي في الانتخابات الثوار والمجاهدين فرحوا كانما قتل بشار  #ا… 	Positive	0.5097
66	#سوريا  المعادل الراهن للملهاة الحزينة بكامل فصولها. 	Negative	1
67	RT USERNAME: USERNAME USERNAME USERNAME قصي واهل سوريا كلهم راجعين انشاءالله ♡♡ 	Positive	1
68	\"USERNAME: يقولون تمثيل هذا الصليب ماذا يمثل؟ #جيش_تويتر #السعودية #الرافضة #سوريا #الشيعة #العراق URL" 	Neutral	0.507
69	#سوريا #اللاذقية   #معركة_الأنفال :  الأخوة المجاهدون يحاصرون العديد من مرتزقة الأسد في محور تشالما ويقتلون عدد كبير منهم 	Negative	0.6427
70	USERNAME لعنت الله عليك ،، النصر قريب للمجاهدين في سوريا !! والله يعجل في قبض روحك انشاءالله 	Negative	0.7067
71	ابو عمر استشهد مبارح  ب #ريف_اللاذقية ب #كسب #سوريا 	Negative	0.8016
72	\"@: #معلومة_عن_قناة_المجد   الثورة السورية ولازالت تقف  وعلم #سوريا يرفرف على جميع قنواتها  بالإختصار :  قناة تحمل هم الأمة الإسلامية..♡\" 	Positive	0.4962
73	RT USERNAME: اللهم انصر بشار الاسد على رعاع جبهة النصرة و خونة الجيش الصهيونى الحر #سوريا 	Positive	0.731
74	\" اللهم إنك أعلم بحال إخوتنا المستضعفين في #سوريا فعجل بنصرهم.. على من: سفك دمائهم، ومسّ عوراتهم، وقتل أطفالهم، وشيوخهم، وشبابهم\" 	Negative	0.4596
75	\"USERNAME: لا يقتل الاطفال إلا من تجرد من أبجديات الإنسانية وأتصف بصفات الطغاة !! #سوريا #حلب URL" 	Negative	1
76	استشهاد ثلاث فلسطينيين في سوريا: الحياة برس – مصادر طبية ومحلية في مخيم حمص ‘ مخيم العائدين ‘ في سوريا الجمعة،... URL 	Negative	1
77	#syria #Aljazeera #حمص : 14 شهيداً ونحو 75 جريحاً هي حصيلة انفجار سيارة مفخخة قرب جامع بلال ... URL #mar15 #alarabiya 	Negative	0.9042
78	RT USERNAME: !̴​​.. ♡`̨      #لم اعد اسمع اخبار عن #سوريا كالسابق      هل ضُمت سوريا إلى #فلسطين ؟ لتصبح #قضايا منسيہ </3 !  #مسآحه_دعويه 	Negative	0.8217
79	RT USERNAME: “USERNAME: منسقه الاتحاد الاوروبي كاثرين اشتون تبين سبب دعم الغرب للانقلاب في مصر !  #مصر #سوريا #تونس #ليبيا . URL 	Neutral	0.5013
80	RT USERNAME: بالفديو صاروخ ميتس يدمر دبابة تابعة للنصيري الاسد و فرحة المجاهدين المسلمين السوريين  بذلك ،، #سوريا   URL 	Positive	0.5438
81	RT USERNAME: ما حدي رح بيحس فيكي يا سورية  الله خير ناصر ومعين URL 	Negative	0.6046
82	RT USERNAME: الجيش الحر يدمر 3 آليات عسكرية في بلدة بصرى الشام بدرعا ويقتل 7 عناصر من قوات الأسد #Syria 	Negative	0.6075
83	#اخبار سوريا: مقتل 14 بانفجار استهدف مسجدا في حمص: اقرأ هنا خبر عاجل بعنوان اخبار سوريا: مقتل… URL 	Negative	0.8963
84	RT USERNAME: أموي #سوريا •  مخطط لإحراق حمص ودرعا   تحت عيون العالم العربي والعالمي المتخاذلين   جبهة الساحل ليش بردت   أحرق... URL 	Negative	1
85	RT USERNAME: مقتل متزعم لواء رجال الشام التابع لـ\"جبهة ثوار سوريا\" اثر انفجار عبوة لاصقة بسيارته بريف سراقب  في ادلب . 	Negative	0.766
86	RT USERNAME: يارب المستضعفينْ فيْ سورياَ إِجعْل لهمْ دْفئَاً فيَ ((هذَا اَلبرْد اَلموٌجع ))    #سوريا 	Negative	0.5662
87	RT USERNAME: أموي #سوريا •  ديرالزور تجمع شباب الحقيقة #حي الصناعة لقاء مـْـْع المجاهدين المربطين داخل الحي   الرابط :: URL 	Negative	0.4147
88	RT USERNAME: أموي #سوريا •   #ريف_حلب_الجنوبي - عزيزة - 18.04.2014     الثوار يسـْـْيطرون على حاجزي بيت الحمام والدشم في قرية عزيزة بريف حلب . 	Negative	0.5096
89	RT USERNAME: والله ان مطير تنومس ومالها حـل   مجاهد مطيري في سوريا يراقب الوضع من فوق عماره ومشغل شيلة ( ماجد الحابوط )   URL 	Negative	0.6048
90	(لهم من جهنم مهاد ومن فوقهم غواش وكذلك نجزي الظالمين) [الأعراف:41]  URL #ربي انصر سوريا  #غرد_بالخير 	Positive	0.5038
91	USERNAME  كنا نتابع احداث سوريا واخبار المجاهدين منذ بداية الثورة اما الآن بعد اقتتال الفصائل الجهاديه فيما بينها كرهنا متابعة الاحداث! 	Negative	1
92	اخواني عنصريين كل ماعصبوا مني قالوا لي يا العبدة، مره اللي يشوفهم يقل من سوريا ذابحهم البياض؟ والله انا ابيض من ياسر بس مين يفهم؟ 	Negative	0.8983
93	RT USERNAME: اللهم اشفي مرضانا و مرضى المسلمين و عافي عنهم و انصر اخواننا المجاهدين و اعتق سوريا من ايادي الطاغيه بشار و اشفع لك من احتاج ش… 	Positive	0.7592
94	RT USERNAME: أطفالٌ عرفوا الموت قبل أن يعرفوا الحياة ! #لن_ننسكم #سوريا URL 	Negative	1
95	RT USERNAME: قطع اذرعة النظام الإيراني هو الحل الوحيد لإنهاء الدكتاتورية والبربرية في سوريا  #Iran #Iraq #Geneva2 	Negative	0.827
96	RT USERNAME: أموي #سوريا •  درعا #الشيخ_مسكين   عصابات الغدر والاجرام تسـْـْتهدف المدينة المحاصرة بالمضادات من حاجز الناحية ومن الواء 82   اللهم ربي سلم 	Negative	1
97	USERNAME أنت ولعها وبعدين ماتعرف تخمدها.خلينا بثورة سوريا و مصر.أسرع الناس إلى ثورة وأعجزهم عنها. 	Negative	0.8564
98	USERNAME USERNAME USERNAME USERNAME لافرق سيسي وبشار لكن شعب سوريا قاتل لم يقف علوش وبعض من قادتهم مع قادة السيسي!؟ 	Negative	0.9198
99	RT USERNAME: سـوف نحـيا هـنـاااا  سـوف يحـلوو الـنغــم # أطفال سوريا URL” 	Positive	0.9047
100	RT USERNAME: \"USERNAME: :فقط في سوريا ، طفل شهيد في الشارع معلق ، لن أُعلق على الصورة ، فالدمع قد سبق كلماتي ،URL" 	Negative	1
101	URL أهل الشام|| شيخ في جبهة جمعية الزهراء همة قوية وعزيمة لاتنثني بالرغم من كبر سنه في ساحات الجهاد #حلب  #سوريا 	Positive	0.5502
102	RT USERNAME: أموي #سوريا •    #تجمع_صقور_الفتح_الإسلامي     كتب الشيخ أبو عمارة المسؤول العام عن تجمع صـْـْقور الفتح الإسلامي 	Neutral	0.9002
103	CH8: سوريا مباشر || الجزيرة || نشرة أخبار السادس�... URL 	Neutral	0.8196
104	#صورة_سورية .. في #سوريا .. عندما يبكي الرجال فاعلمْ أنَّ الهمومَ أثقلُ من الجبال!ربي كن لهم معينا ونصيرا  - URL" 	Negative	1
105	USERNAME USERNAME اللهم انصر إخواننا في سوريا 	Positive	1
106	RT USERNAME: #شام #سوريا | سقوط عدد من الجرحي جراء غارة من الطيران الحربي على مدينة تلبيسة بريف حمص 	Negative	1
107	RT USERNAME: #قصة قصيرة ، كيف أصبح الجرو الصغير كلبا قاتلا. #صورة #سوريا URL 	Negative	0.7404
108	RT USERNAME: 19- #اقتباس من كلمة (ما كان هذا منهجنا ولن يكون ) #الدولة_الإسلامية_في_العراق_والشام #النصرة_المقدسية #القاعدة #سوريا http:/… 	Negative	0.4023
109	USERNAME  اااااااه ذكرتيني رجعتيني احدعش سنه ورا يوم اول مرة نروح سوريا كانو يشغلونها باللعاب 	Negative	0.4924
110	RT USERNAME: #شام #سوريا |ريف #حلب : قصف من الطيران الحربي بالرشاشات الثقيلة يستهدف منطقة الليرمون وبلدة كفر حمرة 	Negative	1
111	RT USERNAME: عاجل  الجيش الحر يستهدف حاجز السلام في خان شيخون بإدلب #Syria #سورية #kuw #حمص #ksa #حلب #uae #شام #oman #درعا #qatar #دمشق  . 	Negative	0.7236
112	RT USERNAME: USERNAME USERNAME USERNAME آمين ،آن شاء الله ستشرق شمس سوريا من جديد بصبركن،والشدائد رح تزول بإذن الله،بندعيلكن… 	Positive	1
113	RT USERNAME: \"وأخرى تحبونها، نصر من الله وفتح قريب، وبشر المؤمنين\". #طرائف_الطريفي #سوريا #سوريا_اقترب_النصر URL 	Positive	0.9092
114	USERNAME USERNAME  يعني اي واحد يروح سوريا يكبر خشمه ولا وش السالفه ؟؟ 	Negative	0.8998
115	RT USERNAME: مآذن الشام تبكــي ,,   #سوريا #Syria  . URL 	Negative	1
116	#سوريا #حمص : أكثر من 15 شهيد و عشرات الجرحى في حصيلة أولية لضحايا انفجار السيارة المفخخة عند مسجد بلال الحبشي عقب صلاة الجمعة 	Negative	1
117	RT USERNAME: عبد الله المعتوق: إذا لم تحل الأزمة الـ #سورية فإن الدول المانحة ستشعر بمزيد من الإجهاد بسبب مواصلة العطاء لنف... URL 	Negative	0.6156
118	اطفال حلب سوريا يارب الطف بحالهم اللهم انصر الثورة السوريه وحفظ الشعب السوري من المجرم بشار.اللهم احفظ اهل سوريا URL 	Negative	0.5074
119	RT USERNAME: أموي #سوريا •  درعا_ مدينه الحارة   مـْـْدينة الحاره تزف لكم أحد أبنائها الشهيد أيمن حسين الوادي في سجون الاحتﻻل اﻵسدي - سجن صيدنايا 	Negative	0.6421
120	الجربا بين انصاره  هل هذا من يريد ان يحكم في سورية المستقبل URL 	Negative	0.8059
121	RT USERNAME: USERNAME والله يا أخي شو ماقدمنا وعملنا لحمص غير حمص مقصرين و أقل شيئ إنو نصدق معها وأقله بالتغريد ؟ والله قلبنا انفطر وكل سوريا اليوم حمص 	Negative	0.9137
122	\"USERNAME: اللهم ياودود يامغيث يافعال لماتريد اللهم فرج هم أطفال سوريا  قتلوا برائة الطفولة فيهن ' URL" 	Positive	0.557
123	RT USERNAME: USERNAME سوريا غاليه على قلوبنا 	Positive	1
124	RT USERNAME: SYRIA #SRGC #الهيئة_العامة #سوريا #درعا : #اليادودة : قوات النظام تقصف بالمدفعية الثقيلة بلدة اليادودة بريف درعا URL 	Negative	0.8144
125	RT USERNAME: أموي #سوريا •  عن #البدعة   قال بن مسعود: اتبعوا و لا تبتدعوا فـْـْقد كفيتم، وعليكم بالأمر العتيق 	Neutral	0.499
126	RT USERNAME: عاجل 🔴  بعد قليل .. #السمبتيك يروي تجربته مع الجهاد في سوريا على القناة السعودية 1   URL 	Neutral	0.8076
127	#ساعة_استجابة  اللهم ثبت أقدام المجاهدين و أشدد أزرهم و ثبت أقدام و أعلي رايتهم و وحد صفوفهم و اجمعهم على قلب رجل واحد #سوريا #بغداد #اليمن 	Positive	0.918
128	#شام #سوريا | ريف #حمص : قصف بالمدفعية الثقيلة من قبل قوات النظام يستهدف أطراف مدينة تدمر. 	Negative	1
129	RT USERNAME: URL  اذا كان يهمك مايجري في سوريا والعراق وماجرى في ليبيا،إقرأ هذا المقال بعيدآ عن العربية والجزيرة والإعلام … 	Neutral	0.9057
130	RT USERNAME: أموي #سوريا •  النـْـْشرة الإخبارية لأهم العمليات والاشتباكات التى دارت في 18 4 2014 الرابط :: URL 	Neutral	0.5989
131	RT USERNAME: من فعل هذا بجدتي ...   من .؟   #حلب اليوم و #جرائم كل يوم   هنا #سوريا URL 	Negative	0.8146
132	RT USERNAME: URL شام ريف حلب حريتان تصاعد الدخان جراء القصف العنيف على البلدة 18 4 2014 #سوريا  #حلب  #حريتان 	Negative	0.8956
133	USERNAME جماعة لصوص ، نحن في سوريا من أين لنا بهذا المبلغ الضخم ، ما إلنا غير القمر التركي أو #zdf 	Negative	0.9003
134	RT USERNAME: ولا تحسبن الذين قتلوا في سبيل الله أمواتا بل أحياء عند ربهم يرزقون) رحم الله الشهيد عبدالرحمن محسن التوم  #سوريا URL 	Negative	0.506
135	RT USERNAME: 2 ايران تنتقل خطوة فى سوريا .خطوتها الجديدة حكم ميلشياوى شيعى رسمى ﻻ حكم حزب بشار الذى يدعى العلمانية والبعثية.يبقى بشار … 	Negative	0.75
136	RT USERNAME: ✨صبراً يا سوريا ؛ فالنصر قريب بإذن الله. ✨ URL 	Positive	1
137	#سوريا #syria قوات النظام تقصف بالمدفعية الثقيلة على بلدة #البوعمر #ريف_ديرالزور 	Negative	1
138	RT USERNAME: #شام #سوريا | #ديرالزور : الجيش الحر يقتل عدد من قوات النظام إثر نسفه لأحد معاقلهم بحي الصناعة 	Negative	0.8037
139	RT USERNAME: حينَ يخذلكَ بترولُ العرب ، وحطبُ بلادك ، وخيمتكَ المهترئة ، ورصيفُ غربةٍ بارد.. لن يخذلكَ حضن أخاك !🍂 #سوريا URL 	Negative	0.6051
140	#Syria حمص: سقوط شهداء والعشرات من الجرحى جراء انفجار سيارة مفخخة امام مسجد بلال الحبشي بالقريب من... URL via FaceBook 	Negative	0.9066
141	RT USERNAME: وفي آخر ساعه من يوم الجمعه لاتنسون أخوانا في سوريا من دعواتكم .. ولا تنسون المرضى والاموات من دعواتكم..  ولاتنسوني من دعواتكم ♥ 	Positive	0.5597
142	#سوريا  حدث في مثل هذا اليوم #مجزرة_الساعة #حمص 18-4 URL 	Negative	1
143	RT USERNAME: هـنـا #سوريا   حـيـث مـاتـت إنـسـانـيـة العالـم URL 	Negative	1
144	أموي #سوريا •     - #ريف_دمشق - #القلمـْـْون - #وادي_بردى - #عاجل -   إستهداف قرية #اشرافية_الوادي بالرشاشات... URL 	Negative	1
145	USERNAME بعد سقوط بشار اجزم لك سوف يسقط بعده مباشره حزب الشيطان ويليه دولة المجوس.وقسم بالله ان النصر لاهل سوريا وسوف يقتل بشار 	Negative	0.5006
146	RT USERNAME: مؤلم جداً بكاء الكبار اكثر من بكاء الأطفال  لأنهم لا يبكون إلا من شئ قد غلب صبرهم !!   #سوريا URL 	Negative	1
147	USERNAME أسود حتى النخاع وﻻ بنرضى غير باﻷسد يكون رمز سوريا 	Positive	0.8958
148	\": لا تحزني يا صغيرتي ستجتمعين أنتِ ومن خذلك أمام الله ولن يضيع حقك ،،، #سوريا . URL" 	Negative	0.7274
149	RT USERNAME: مع المكر الكبار في #سوريا   لا يغب عن بالك قوله تعالى : \"أم أبرموا أمرا فإنا مبرمون\" \" ومكروا مكرا ومكرنا مكرا وهم لا ي… 	Positive	0.6946
150	RT USERNAME: اللهم أنصر #المجاهدين في #سوريا وأحفظ أطفال ونساء ورجال #الشام #syria  USERNAME USERNAME USERNAME USERNAME h… 	Positive	0.8677
151	USERNAME والله ما يحصل في اليمن يحزن القلب و سوريا أيضاً تستصرخ الضمير الحي النشطاء السوريين يعبرون عن قلقهم من مجزرة جديدة في حمص 	Negative	1
152	RT USERNAME: أموي #سوريا •  ريف #حماة: دارت اشتباكات عنيفة على أطراف مدينة مورك تمكن خلالها الثوار من تدمير دبابة وقـْـْتل... URL 	Negative	0.5792
153	اذكروا #سوريا بدعوة #ساعة_استجابة 	Positive	0.6491
154	RT USERNAME: زعلانه لان أطفال سوريا ماعندهم شي ياكلونه   URL 	Negative	0.8291
155	الاقتصاد السوري ليرة منهارة وديون متعثرة: في عامي 2011 و2012، ومع دخول \"الثورة السورية\" عامها... URL  #سوريا 	Negative	0.7125
156	RT USERNAME: USERNAME وحدمر سوريا اكثر  نظرياً اختي امريكا ماضربت بشار  وماعم بتشوف شو عم بيصير امريكا  مابدها اسلاميين يحكمو سوريا… 	Negative	1
157	RT USERNAME: : هكذا ينحرون أطفال سوريا  ثم يقولون نحن أتباع أهل البيت❗❗   URL أهلكـهم.\" 	Negative	1
158	RT USERNAME: #شام #سوريا | ريف #درعا : تجدد القصف بالدبابات على بلدة اليادودة ،  مصدر القصف قوات النظام المتمركة على حاجز فطرة. 	Negative	0.8136
159	RT USERNAME: مافيا سورية تفشل بتهريب 22 مليون حبة مخدرة للسعودية  USERNAME URL URL 	Negative	0.4984
160	RT USERNAME: #شام #سوريا | ريف #درعا : قصف للطيران المروحي بالبراميل المتفجرة على مدينة إنخل. 	Negative	0.7966
161	RT USERNAME: #شام #سوريا | ريف #درعا : قصف بالمدفعية الثقيلة يستهدف أطراف بلدة الغرايا ،  مصدر القصف قوات النظام المتمركزة في خربة غزالة. 	Negative	1
162	أموي #سوريا •  #حماة #الريف_الشمالي #عاجل   إشتباكات عنيفة على مشارف الحي الجنوبي لمدينة مورك بين الجيش الإسلامي... URL 	Negative	0.9041
163	RT USERNAME: يـــا بآسط الأرض ورافــع السمـاءابسط رحمتك لأهل سوريــآ وارفــع عــنهم البـــلاء  #دعواتكم  لــ  #سوريا URL 	Positive	0.9023
